"11 (OG/fSOM)"	"10 (t-SNE/fSOM)"	"17 (t-SNE/fSOM)"	"15 (t-SNE/fSOM)"	"3 (OG/fSOM)"	"19 (t-SNE/fSOM)"	"11 (t-SNE/fSOM)"	"18 (t-SNE/fSOM)"	"14 (t-SNE/fSOM)"	"20 (t-SNE/fSOM)"	"5 (OG/fSOM)"	"2 (OG/fSOM)"	"1 (t-SNE/fSOM)"	"7 (OG/fSOM)"	"6 (OG/fSOM)"	"20 (OG/fSOM)"	"4 (OG/fSOM)"	"18 (OG/fSOM)"	"16 (t-SNE/fSOM)"	"15 (OG/fSOM)"	"8 (OG/fSOM)"	"2 (t-SNE/fSOM)"	"7 (t-SNE/fSOM)"	"1 (OG/fSOM)"	"14 (OG/fSOM)"	"13 (t-SNE/fSOM)"	"9 (OG/fSOM)"	"13 (OG/fSOM)"	"6 (t-SNE/fSOM)"	"9 (t-SNE/fSOM)"	"16 (OG/fSOM)"	"12 (t-SNE/fSOM)"	"8 (t-SNE/fSOM)"	"10 (OG/fSOM)"	"19 (OG/fSOM)"	"3 (t-SNE/fSOM)"	"12 (OG/fSOM)"	"4 (t-SNE/fSOM)"	"17 (OG/fSOM)"	"5 (t-SNE/fSOM)"
"9 (t-SNE/fSOM)"	79.6572414324745	76.910251938439	77.1766190442821	77.7953000018859	74.3815117411358	74.8092829121986	75.6192482564024	75.2749451599575	75.5560644986784	81.8011272668014	83.1495977058015	83.3146280091195	83.7379701515687	85.8755134707817	86.0076283710998	85.8343877713407	86.9086144695024	89.846688260427	88.3701524835429	89.2211570075714	85.4438952712576	87.9934536360925	86.8262081390358	87.6072303545009	93.6384650271437	93.1603791235044	93.1183602749817	92.8560415712361	91.9439030673884	100	99.0956678649076	94.805219953894	94.7592789183722	94.61216285027	91.5120950793287	93.1762828783893	93.3528721182197	94.3132251537127	94.3564710345076	95.3445261240553
"6 (t-SNE/fSOM)"	82.8718033728441	80.9695391559068	81.2682272629687	81.7840567890276	78.618489035007	78.7864688565966	79.7703934186741	79.262187904165	79.6293592354996	86.5213265750312	88.0259368876056	87.6150026488685	87.9685519581578	91.3208103675814	90.6139951239016	90.0049908943583	90.5360927767285	91.3379555315416	90.8670238605051	92.0325301419765	87.6727136086235	89.3325668338965	87.5095065186157	88.5173486322888	93.0048794090157	93.123800517266	94.5627822135328	93.3224046864702	100	91.9439030673884	92.2547348948628	92.1097622997993	92.4439047676595	93.6985052430136	94.3721139003805	90.673659916911	91.1784671660039	90.8771673046084	91.9618864775007	92.1410193373829
"13 (OG/fSOM)"	82.7461780386137	80.7502105298799	80.5815913400299	81.4356092785755	78.4145312361798	79.0065762680549	79.7734339464927	79.465121452853	79.7937404225802	85.2288175153425	86.6190653642056	86.4458075197599	86.6363853121925	89.0256746103208	89.1882472818672	87.614261387902	89.0138578571782	90.5780879268006	90.554322662176	90.2663027957545	86.9628717683315	89.5949825370452	87.7494200230512	88.8075980342486	94.0030531878882	93.5534047942634	93.6585745654289	100	93.3224046864702	92.8560415712361	93.3453222060656	93.5943256374032	93.8178375191914	93.5500350662393	90.3435788082245	90.1549951968232	90.61807148764	90.8205167929714	91.0580558230359	92.08177336537
"9 (OG/fSOM)"	81.883136119985	79.7861110936026	80.0091487908541	80.3418657475674	76.9979593948476	77.4183888090064	78.4590692624991	78.0302447287535	78.4475967396589	85.5305976895126	87.2343720463353	88.8117534152253	89.2928678866342	90.5657829819983	90.7434170586389	89.5902072178529	92.26333181912	90.6052109064682	89.8100819371113	90.9717595090255	89.0598715415885	91.9546126222292	90.6451195166517	91.5590321057089	93.4795989148134	93.204416211204	100	93.6585745654289	94.5627822135328	93.1183602749817	93.2884308367003	93.3279451238062	94.0922761586929	94.9022090122844	91.9793004278645	93.9664528926664	94.4991933560436	92.2617065435318	92.4548321530689	93.2213314343001
"13 (t-SNE/fSOM)"	82.2143178638229	80.5460077714262	80.7831284958537	81.3434841645571	78.1414089542038	78.4168174414476	79.2623801633125	78.7345881626106	78.9390652744229	85.4360396431168	86.6267768253296	85.3711379023271	85.8516085153723	87.1147111837697	87.8064009651938	88.6921617725101	89.02877923928	92.8263449295452	92.2972186850227	93.977902831957	87.1999102947128	88.7032520158829	86.8454973277804	87.8983895356877	98.7239578014268	100	93.204416211204	93.5534047942634	93.123800517266	93.1603791235044	93.5682088639005	95.6568880606763	93.4344900173741	94.8276092642694	91.1776630773491	90.870949593069	91.327272921669	91.9734308161101	93.2104321470172	94.0269700405802
"14 (OG/fSOM)"	81.7342642916894	80.0294816213626	80.1707680343436	80.7312029569354	77.7332505892119	77.9023653984262	78.7593135812161	78.2544660158581	78.4957284975632	84.92703974121	86.238754974558	85.3770615434876	85.8301522228927	87.1587279467507	87.7370541752814	88.3165017370118	88.8881377581103	92.2957307563498	91.7101404030703	93.0993624983992	87.2817164623686	89.0170046383881	87.2466274890304	88.2740018983474	100	98.7239578014268	93.4795989148134	94.0030531878882	93.0048794090157	93.6384650271437	93.9876999136581	96.6167275060803	94.2169742926851	95.2177617984991	91.1942428044431	91.3706174287918	91.7834597683049	92.5203611341788	93.4279453155656	94.4805993846888
"1 (OG/fSOM)"	79.452904600992	77.5938497290066	77.4038871473289	77.2406206569366	75.436621178564	75.3978109220511	76.5108069999242	76.1961719912023	76.7615326454254	82.6139489272658	85.1151131379063	87.4044288009026	87.7906707638149	86.8509947324463	86.860375562832	85.6069510124543	89.1579005943318	87.2906986258195	86.6894087049107	86.0901843668136	92.6332560739728	97.4365307198025	98.5343184183635	100	88.2740018983474	87.8983895356877	91.5590321057089	88.8075980342486	88.5173486322888	87.6072303545009	87.6818117619998	88.2530280232672	89.1703446001489	88.999537604954	87.1515347314404	90.4695773982406	90.9255132182921	87.581309003397	87.4441908637253	88.0235155399288
"7 (t-SNE/fSOM)"	78.4633282457071	76.5902788965521	76.4345779469183	76.2108425228766	74.4745371035287	74.3744609195042	75.4844273993188	75.255248702488	75.8325133181537	81.4716027088798	84.1115800231387	86.5663794200254	86.9393856695438	86.1050417496772	86.0604009976421	84.5315435071938	88.1833544551577	86.2818623877497	85.5757031839836	85.0290855247818	91.9392563242231	96.1240749311246	100	98.5343184183635	87.2466274890304	86.8454973277804	90.6451195166517	87.7494200230512	87.5095065186157	86.8262081390358	86.8469543843981	87.3437163165689	88.3379874319358	88.0504193504543	86.3575105616113	90.0881547158079	90.4950934451201	86.85151298803	86.6194241385807	87.2140448717637
"2 (t-SNE/fSOM)"	80.4637397658746	78.6790096686269	78.3112304038386	78.1533236354129	76.5327464187048	76.5220413932084	77.6695344067385	77.110011472842	77.6820905606859	83.991024010795	86.2209580503461	88.2281532622099	88.5977107671523	87.387669576837	87.3635881409595	86.875925899398	89.9389520957955	87.9568876375419	87.5252398847922	86.9306132246111	93.7247676447792	100	96.1240749311246	97.4365307198025	89.0170046383881	88.7032520158829	91.9546126222292	89.5949825370452	89.3325668338965	87.9934536360925	88.1398536365451	88.8589052142707	89.7456719563239	89.7745208364891	87.8745549732726	90.1598366263868	90.6469351612543	88.1601818118934	88.1565871231094	88.5986297582203
"8 (OG/fSOM)"	82.1832268547638	80.786124771973	80.4139129013821	79.6470418493156	78.8249532478202	78.5779386828895	79.7606585810488	79.1019811874665	79.7081061367965	85.1822370278477	87.9235372264171	87.8688470251429	88.09153299822	86.1875797534559	86.460483731686	86.8263674374636	88.1237803426178	86.8347353256826	87.7324062294801	87.4401756298329	100	93.7247676447792	91.9392563242231	92.6332560739728	87.2817164623686	87.1999102947128	89.0598715415885	86.9628717683315	87.6727136086235	85.4438952712576	85.7066208087712	86.2526745183338	86.6961976070235	87.2235130487777	85.769233025505	86.8791661263689	87.4464389392462	85.2835300554886	85.5970866113573	85.9029311414752
