"CD34"	"CD123"	"HLA-DR"	"CD16"	"CD33"	"CD184"	"CD13"	"CD38"	"CD117"	"CD62L"	"CD56"	"CD183"	"CD25"	"CD185"	"CD19"	"CD14"	"CD15"	"CD24"	"CD235a"	"CD3"	"CD7"	"CD11c"	"CD61"	"CD11b"	"CD64"	"CD4"	"CD45"
"1"	-1.58662848814667	-2.25118981074021	-2.91080822305105	-0.00883566659712528	-1.32117896828982	-0.506146315449458	-1.16973006031573	-0.757152255767176	-0.822293520316624	1.33408542630243	-0.350073249146184	-0.11008303517321	-0.00754132623020458	0.331815812945971	-0.00462637308451968	0.532749102869986	0.000763115469292284	0.157407346723667	0.160609265032019	3.85077139477311	3.10577634009369	-3.25994468058265	0.406188985977625	1.45611578074233	2.9876916887127	6.52149936952847	9.25794203309953
"8"	-0.424095591237832	-1.36416024990437	-1.62453073887897	0.0109004984456501	-1.143798310648	-1.22299485104243	-1.04293264183316	-1.70815337642514	-0.24668502476564	-0.234506654011721	0.118595677598786	2.7256906176574	-0.00130666160068571	0.314917053443742	-0.0101164224917866	0.34825203664192	-0.065658944943625	-0.327728083911007	0.0490678322952704	3.27286709767219	1.26887101055851	-2.84184537043933	-3.72900655887047	-2.79894384337284	2.60504296149874	5.9971321885897	7.6761772813669
"7"	-0.997171515743162	-2.20480754225851	-2.493954054794	4.50469805128318	-1.17656549844882	-1.71105738416576	-1.08130426195155	0.789779324605922	-0.668717776439939	-0.132481640773591	1.86500121560929	0.0826049281501129	-0.00159064125920622	0.00946406468139763	0.00338140695356386	-0.339890336182999	0.0632384842181858	0.666026636694301	0.0936540901034256	0.0201146558903252	3.55268005940295	0.882633471009698	-0.50443504973784	1.98636412724852	-2.87242120287523	-2.51910281632997	7.13896917625176
"6"	-0.680416612912797	-2.20794924706349	-1.56295586435953	1.16516978743829	-1.16822845309896	-1.63025825897571	-1.66783314786389	0.807074466281845	-0.660076030906581	1.17251494575597	3.58475602837136	-0.12308355479649	-0.0033870529860348	0.00953904090790572	0.00597710677657537	-0.329555283444357	0.0517935785904939	0.128141607511111	0.177785110445431	0.0180343129422826	3.71534331474776	1.02878557376959	-0.533638120782114	1.63478463540283	-2.86402030116858	-2.31649961517166	5.33974156171175
"4"	-1.69207283411533	-1.67143753403867	1.14638922482632	-0.00404431772913175	-1.17323173809202	-0.486969318400798	-0.621233834008872	1.1114199747062	-0.663763894635825	0.151839968779325	-0.227707771528247	0.073281524396027	-0.006201577456746	0.178482988060413	0.0014293844234592	0.337126320919986	0.0398986487424602	0.21861887986549	0.149445756943973	3.21917763581433	1.78881859352849	-2.80388202073771	0.738583896577199	1.30639038628669	-2.43325956957137	-1.97211589402372	8.36834304282011
"2"	-1.14056337875682	-2.21012144106368	-2.20156626261145	-0.00316816794494677	-1.21694380186548	-0.80398277289718	-0.836610766639298	-1.64784134290959	-0.711724222892236	0.0296802976522604	-0.23527407631911	0.201014212345947	-0.000832148910021316	0.194608203774914	0.00408148506433049	0.405731684669043	-0.063798356400768	-0.0230846905358376	0.0284457098821645	3.29374244467691	2.55531652727986	-2.98155613094493	-0.662653523086217	-1.88757858503147	-3.59341054769435	-3.98333606910222	8.23628978665874
"20"	-2.38707920322782	-1.44913738797608	3.51983833607986	-0.00375710062224661	-0.85003191272603	0.693787017683008	-0.554925704572831	-0.995653043162289	-0.456632569568105	0.132406665526773	0.0729699212082735	0.181457412946934	0.00482714191535375	0.97412964485083	2.53144870802604	0.342348288985884	-0.00064450033753211	0.45092391401174	0.09386311535144	0.117391713841238	-0.6180029639854	-0.662622023425228	-0.747080834369983	-1.55552557284345	-2.85220853807517	-2.93911494609552	7.9822706344853
"5"	-0.806232115984372	-0.389633595368016	-0.49901692601187	-0.00788202604655859	-0.852706522073354	-0.892221288826009	-1.05511724034736	-0.809433478489994	-0.670022605560377	0.50933046450656	0.548044220082333	0.18642812790956	0.00520532530701415	-0.00510539350637779	-0.00820633326135235	0.327995218670361	-0.051085174937052	-0.316654203369142	0.000491870975888421	0.0808599181208196	0.229483081458587	-1.52963222906693	-2.50373744238699	-4.24132856073942	-4.05479764174925	-2.14858244968936	3.27231794373161
"11"	0.936596092287768	0.173906757981239	-0.639724165499011	0.00213712725501982	-0.225583362664147	-0.179970999570705	-0.998503182086931	-0.26384861141776	0.372520034951885	0.158625572343193	0.169698159502873	-0.0568520352830684	-0.000784505030931298	0.00391599692782632	0.848984307288337	0.344668169880083	0.00749765841319417	-0.300312690175353	5.29243574520101	0.0178529413908389	-0.595201794638375	-2.66550169116133	-2.8352869891418	-4.34114668907738	-5.27862114874607	-3.92844500777563	-3.23537927658934
"3"	1.66776061588837	0.508344069089298	-1.68169971276092	-0.391332671017927	-1.02750655964967	-0.608360006263956	-1.46936104670044	-0.661138158188347	0.579811106744615	0.306563181451916	-0.264445064220138	-0.0516419035423308	0.00340790745760347	0.0142518982926587	0.0106456562016458	-2.32002696250256	-0.371106768402844	-1.32369165746648	-0.949790705642268	-5.26030890717208	-3.6232330728431	-5.36759981898056	-4.75348334904811	-6.20123039724814	-6.32886788229484	-5.3165198348588	-3.84949668241858
