"CD11c-159 (v)"	"CD61-150 (v)"	"HLA-DR-174 (v)"	"CD34-148 (v)"	"CD117-143 (v)"	"CD62L-153 (v)"	"CD123-151 (v)"	"CD13-152 (v)"	"CD33-158 (v)"	"CD184-175 (v)"	"CD38-167 (v)"	"CD16-165 (v)"	"CD183-156 (v)"	"CD19-142 (v)"	"CD56-176 (v)"	"CD24-166 (v)"	"CD25-169 (v)"	"CD15-164 (v)"	"CD185-171 (v)"	"CD235a-141 (v)"	"CD14-160 (v)"	"CD7-147 (v)"	"CD3-170 (v)"	"CD11b-144 (v)"	"CD64-146 (v)"	"CD4-145 (v)"	"CD45-154 (v)"
"3"	0.083212401290223	2.49479501916681	3.72167082713144	0.497595587693992	0.005396248536216	0.646269906073267	4.7229113056356	0.650921648052471	0.0806962955457765	1.3980663557073	1.8344178623424	0.066028151226046	0.243350899079444	0.0497976641053431	0.296393597171586	0.33723107117541	0.0265829814074144	0.183605463549838	0.0162955129614354	0.63027921037043	0.012107224995051	0.00220533281545483	0.012136410245511	0.352542119694089	0.627522463232917	2.19702438129767	3.48198511551376
"20"	0.00309195646713365	0.506154233853867	0.478969237801024	0.480760290692651	0.0206947197623	0.677350779576211	0.0296547060994532	0.487713812908941	0.00821811495330485	0.262131199353507	0.542626975332594	0.00394407556123494	0.297826609353148	0.0171882947576454	0.0633736904011275	0.114314393402556	0.0246255343408591	0.0318413670077695	0.206088652770711	0.0588120356129799	0.016617736307087	2.51240246947299	3.34799799067629	0.296448940443914	0.187454272979103	0.0469397409668098	5.53767906782299
"1"	0.00119332028111838	0.0769030854466239	3.76985072474559	0.34083015189601	0.0219970128652514	0.255074801785407	0.075357150375907	0.213257617348028	0.0371419439225462	0.760796252721213	0.484578021299303	0.0145103885928971	1.0947938282082	1.73977810421857	0.185947632291853	0.135359162582162	0.0309677017389798	0.00744563506880376	0.23584793761017	0.0011128527259074	0.0195657544501244	0.0135879999287341	0.0044654265649512	0.0360728566329274	0.0330060865845914	0.00565442161658211	5.01981832743104
"2"	0.145029814560366	0.689149091560636	1.81471246364758	2.28739386773682	0.94057490512454	1.03527489875601	1.57518286989353	0.982377555289213	0.394619243613869	0.768595527308078	1.85257136274934	0.0177112846264743	0.201211081882157	0.0125158852001463	0.236060261528659	0.0576619657500423	0.0258584241540887	0.10579914151407	0.0116108078665266	0.00751706608794715	0.0240860994640031	0.0169206859735333	0.0203561582206428	0.00379755688576994	0.0651438902427714	0.000791733349840738	1.81344275554924
"7"	0.0543116727186829	0.0415145644626195	2.00821881767114	2.27071128207347	1.14218458706627	2.02869436037509	1.19689009731765	0.483662896374828	0.285329245150298	0.26781425659688	1.75320785894568	0.018325487267088	0.160329560051139	0.0149151492290014	0.140438181511284	0.000187540937966098	0.026085485960658	0.0608494965844251	0.0141786309879242	0.0109199131839321	0.026896449398512	0.0196386617793813	0.0234225571786365	0.00459144911217824	0.0154701553020322	0.00758964384816102	1.28382846595407
"13"	0.00500197063246785	0.00130795414207421	1.50389553271301	2.30204696469184	0.375044916389635	0.206613061726154	0.499349264787879	0.290206962343295	0.107776343501694	0.420904503602904	2.03980902979526	0.0202370936601228	0.156308948672314	0.0178580120301275	0.103320478604277	0.00316474542727826	0.0261203159970344	0.0759631334969567	0.0164176166742622	0.012412325207484	0.0274920898062858	0.0204921933424129	0.0223679893838331	0.011348396834379	0.00389165566515143	0.0102793269064777	1.5875352487779
"19"	0.00351502568892942	0.00308624686611164	0.91453090447663	1.59495630325611	0.724294554246805	1.8707080302715	0.900538791212942	0.26693899314371	0.163920373102543	0.206180270725177	1.31503637445432	0.0230986260261033	0.0896242411021001	0.0197417310132755	0.0757222965781566	0.00972250581767836	0.0287453044513224	0.00272031786305416	0.0182927340443409	0.0145808070114691	0.0289081541595698	0.0219545965959089	0.0255845489618968	0.012479487983332	0.00809516856884474	0.0147064619848917	0.498812770072707
"17"	0.00361246798515892	0.00141823703687023	0.452170937223073	1.74472193452869	0.475712062646326	1.39625742592538	0.711580570272037	0.3229125275594	0.11468279597708	0.248035505049742	1.46328316869515	0.0218285282124339	0.0719288589167901	0.0208828946719789	0.0752255244543554	0.00644062178994837	0.0278945479579131	0.00456809973074947	0.0180803123915624	0.0142531744619467	0.0282721424888972	0.0206546551290528	0.0230310831208611	0.0117248401810114	0.00764579923172683	0.00957063577885443	1.51681338752118
"10"	0.00431795616261331	0.000985472924444919	1.25293944859924	1.67790973523101	0.59817767607719	0.38730233761679	0.999559783821269	0.324387350490134	0.144059802957796	0.382433753762844	1.03381962110227	0.0229241816039198	0.0783195417673473	0.0200042574986989	0.0685043849603159	0.0104026130197743	0.028651757724047	0.000809196791156103	0.0189047837699165	0.0154533603319066	0.0285979071228711	0.0234491792418946	0.0255902095500163	0.0144348158313003	0.0107436070318937	0.0148870581954672	0.444398336976179
"12"	0.00222468192471449	0.015860019771992	0.857692245731508	1.25471937074016	0.455523028999662	0.283969656364294	0.947066673139426	0.485187062838365	0.107112890523038	0.376262313161816	0.863593919966872	0.0240561438950547	0.0458191929611073	0.0209233107041387	0.0556235530550327	0.0108059116273128	0.0292606400491807	0.00263117012263255	0.0204067679472255	0.0134535113606332	0.0289999674207076	0.0214101239072463	0.0242961195458174	0.0144508810844003	0.0117573388635657	0.00903805656777891	1.48004014818985
