"CD11c"	"CD61"	"CD11b"	"CD64"	"CD4"	"CD45"	"CD34"	"CD123"	"HLA-DR"	"CD117"	"CD62L"	"CD13"	"CD33"	"CD184"	"CD38"	"CD16"	"CD235a"	"CD183"	"CD19"	"CD56"	"CD24"	"CD25"	"CD15"	"CD185"	"CD14"	"CD7"	"CD3"
"16"	-2.33388738253487	1.97465545107567	-1.39406856941603	1.50202685481118	1.83022500757767	1.89342842935836	-0.878295010002266	4.1128128135411	2.36108138558317	-0.708088529987089	0.0221477864308729	-0.486951091652399	-0.951866702462658	0.850399365495949	0.246417205875847	0.0582290326617992	0.6351776332741	0.119427377383449	0.0359359647092285	0.163154881929148	0.254970138978624	0.000596644942807018	0.114174426538516	0.00563758434096406	0.356172255658842	-0.358109391590245	0.00787696565074548
"1"	-3.14951754660326	-0.45541530389814	-1.75350850303579	-3.40811162149333	-3.65887626011331	8.53062211258634	-1.26373527029245	-2.30187137500174	-1.43176500795282	-0.757008882650996	0.0562020224142059	-0.803706038513188	-1.28409552446041	-0.743301800872767	-1.11299319343216	-0.00550356270404858	0.0588687153040068	0.178940474067578	0.00360192115353292	-0.242051298814797	0.0292031535929888	-0.00154440700512666	-0.0446186570092702	0.198858233335114	0.438143219703304	2.57610172048394	3.426102591798
"20"	-2.45872491705567	-2.00295614749652	-3.39409250679084	-5.21735302885584	-4.18355814231129	2.36430654761118	-1.20386652686626	-2.0829155358912	2.38120079900283	-0.699483189576447	-0.762504500235954	-1.25558275070163	-1.20728379041962	0.194296540048669	-1.33358712684939	0.00561093806934574	-0.0377715542549708	0.996059003335158	1.7693698307745	0.049403230991558	0.0503916633345071	0.00510707042586939	-0.0690366968535832	0.230280317804177	0.391785280115348	-0.65768389291168	-4.99214863527576e-05
"15"	-2.61543048080112	0.413802767537122	-4.99604469808686	-5.89351631981041	-4.50339022672767	-6.04228724456949	1.98080146884224	1.18497441687787	1.47209358773787	0.786550895933964	0.438720829597687	0.430866939641031	-0.0872304826707782	0.076522949950648	0.44108988532504	0.011041481481319	0.0971461570738287	0.0346457745314262	0.000648032484724603	0.0629583411698336	-0.358120897585049	0.000525689112143168	0.0020387726864348	0.00313376736939717	0.572272069593851	-0.822181483132278	0.126817475421762
"17"	-3.13410281400134	-3.45267032725069	-4.88716980170267	-5.79100146563196	-4.40281845082062	-5.23003699138348	2.71020128581998	0.979428281812662	1.76460933549574	1.07037752402519	1.96363191405679	-0.382886241637454	0.115039529296227	-0.286060304014957	0.91449313890044	0.00886063506128509	0.0766344356919494	0.079488984597051	-0.00126761346096727	0.0557914623982931	-0.351762190814333	-0.00122832699813007	0.0256094199909646	0.000669828032855019	0.520601372139663	-0.768864623530968	0.0922523059789429
"10"	-3.21143295868701	-4.13207205175379	-4.84899744350311	-5.8143650658287	-4.36715424968342	-5.26097247977845	2.71940402900138	-0.614221725604836	-0.486891563497172	0.257035310543263	-2.12256306740324	-0.953401823173353	-0.880000686513413	-0.077324610631277	1.41765893695046	0.0115059243208232	0.0872149658174474	0.018428422326231	0.00407260734812614	-0.0784821178534733	-0.38640071791369	-0.00123291052643535	0.027050182809508	0.00578875592788444	0.503165126678219	-0.752839468913654	0.0753521049027291
"18"	-3.182569139553	-4.09965004395711	-4.81362126170221	-5.78134794867009	-4.33303224152371	-8.24885699551499	1.49658761265869	0.351115941700435	-1.51396397521714	0.624296481609905	2.00885034800951	-1.38570648961199	-0.573394866584061	-1.00601560442198	-0.660229720871853	0.0151400792038237	0.088087381364343	-0.131763841136901	0.00629902807508896	-0.232129458580858	-0.383860157820549	0.00286061778389823	-0.0776628406906807	0.00779714650777152	0.485886800830418	-0.739991813521479	0.0732305851635352
"14"	-3.29730275121334	-4.21434932949635	-4.95393815230996	-5.90069436022735	-4.4570078542087	-7.25251152989728	1.60005929670227	0.281603314744533	-2.34087165462944	0.416627547182261	1.57151547757484	-1.19159159757499	-0.934260590443735	-1.07300356087825	-0.669936810412793	0.0136364481009349	0.111282346965205	-0.166392499456028	0.00750722274746619	-0.247375216881539	-0.407973823524717	0.00277362096792744	-0.0814580451695422	0.00854706411520701	0.553304672482547	-0.801643122022358	0.111604740877391
"19"	-3.40063466872322	-4.32768643474286	-5.08651790692287	-6.02189001142658	-4.59856913390246	-8.72888360497442	1.60423667039923	0.484759064387207	-0.969762069707056	0.470776515760511	-1.22581024937757	-1.08983098263209	-0.627332571709164	-0.308969726393618	-0.984665600487244	0.0161930075135078	0.125759680553842	-0.156283643141252	0.00736819995361437	-0.260026146588539	-0.452230993349056	0.0031891671527374	-0.0890040560206259	0.00959511526712226	0.619416282328504	-0.88451499274086	0.185358312376865
"11"	-3.57208259074525	-4.50133907528519	-5.28760501003763	-6.20428458031026	-4.78590269604615	-6.82080635312893	1.08052884385288	0.218546547228313	-1.07334366996454	0.322529165606385	-1.32762311155319	-0.959823661113608	-1.02441545435575	-0.45606317990274	-0.762000293919997	0.0173847073139063	0.14724238610004	-0.165707195349383	0.00765385715638012	-0.273025904992859	-0.492321801275666	0.00298031870131862	-0.110291832756134	0.00982745859586152	0.719416672616459	-0.990326534307365	0.263876004971225
